 Aramid:0 "des Aramid"
 Arid:0 "des Arid"
 Arkhid:0 "des Arkhid"
 Asinid:0 "des Asinid"
 Arsacid:0 "des Arsacid"
 Deiocid:0 "des Deiocid"
 Menid:0 "des Menid"
 Pacorid:0 "des Pacorid"
 Savacid:0 "des Savacid"
 Vardanid:0 "des Vardanid"
 Surenid:0 "des Surenid"
 Karinid:0 "des Karinid"
 Gaumatid:0 "des Gaumatid"
 Gobryasid:0 "des Gobryasid"
 Hydarnid:0 "des Hydarnid"
 Smerdid:0 "des Smerdid"
 Vivanid:0 "des Vivanid"
 Xerxid:0 "des Xerxid"
 Abadanid:0 "des Abadanid"
 Orontid:0 "des Orontid"
 Atropatid:0 "des Atropatid"
 Mithridatid:0 "des Mithridatid"
 Artiaxid:0 "des Artiaxid"
 Sassanid:0 "des Sassanid"
 Mihranid:0 "des Mihranid"
 Chosroid:0 "des Chosroid"
 Artashid:0 "des Artashid"
 Bagabignid:0 "des Bagabignid"
 Cambysid:0 "des Cambysid"
 Frataraka:0 "des Frataraka"
